doc_id;babelSynsetID;fragment;count
2010-BATI;bn:00000005n;ones;2
2010-BATI;bn:00000010n;thousands;1
2010-BATI;bn:00000111n;iv;2
2010-BATI;bn:00000119n;fin;1
2010-BATI;bn:00000242n;abc;16
2010-BATI;bn:00000318n;ability;1
2010-BATI;bn:00000670n;availability;3
2010-BATI;bn:00000725n;skills;1
2010-BATI;bn:00001176n;actors;8
2010-BATI;bn:00001227n;promotion;1
2010-BATI;bn:00001355n;adequacy;1
2010-BATI;bn:00001422n;administrator;1
2010-BATI;bn:00001426n;governance;1
2010-BATI;bn:00001939n;long time;1
2010-BATI;bn:00002178n;intention;3
2010-BATI;bn:00002179n;target;2
2010-BATI;bn:00003341n;states;12
2010-BATI;bn:00005090n;applicability;3
2010-BATI;bn:00005095n;application;14
2010-BATI;bn:00005598n;arguer;1
2010-BATI;bn:00005956n;artefact;5
2010-BATI;bn:00006125n;things;1
2010-BATI;bn:00006555n;visibility;1
2010-BATI;bn:00007117n;auditability;1
2010-BATI;bn:00007287n;authors;5
2010-BATI;bn:00009657n;behavior;2
2010-BATI;bn:00012339n;bottles;3
2010-BATI;bn:00012681n;head;2
2010-BATI;bn:00012758n;trade name;7
2010-BATI;bn:00013640n;budget;3
2010-BATI;bn:00014136n;business organisation;1
2010-BATI;bn:00014137n;business;120
2010-BATI;bn:00014145n;business activities;6
2010-BATI;bn:00014710n;months;1
2010-BATI;bn:00016287n;implementation;2
2010-BATI;bn:00016413n;type;2
2010-BATI;bn:00017235n;ceo;1
2010-BATI;bn:00019478n;class system;1
2010-BATI;bn:00019980n;textile;30
2010-BATI;bn:00020452n;process;15
2010-BATI;bn:00020726n;color;7
2010-BATI;bn:00020997n;business rules;2
2010-BATI;bn:00021248n;community;1
2010-BATI;bn:00021286n;company;2
2010-BATI;bn:00021383n;complexity;1
2010-BATI;bn:00021475n;file;1
2010-BATI;bn:00021497n;software;12
2010-BATI;bn:00021547n;concept;9
2010-BATI;bn:00021961n;results;28
2010-BATI;bn:00022007n;integration;1
2010-BATI;bn:00022168n;context;1
2010-BATI;bn:00022286n;controlled experiments;1
2010-BATI;bn:00022325n;convenience;1
2010-BATI;bn:00023236n;state;13
2010-BATI;bn:00023362n;coverage;1
2010-BATI;bn:00023853n;criteria;37
2010-BATI;bn:00023869n;literature analysis;1
2010-BATI;bn:00025083n;terms;1
2010-BATI;bn:00025331n;information systems;10
2010-BATI;bn:00025693n;decision making;2
2010-BATI;bn:00025928n;definition;2
2010-BATI;bn:00025966n;level;2
2010-BATI;bn:00026107n;demand;2
2010-BATI;bn:00026817n;diagram;1
2010-BATI;bn:00026967n;dictionaries;1
2010-BATI;bn:00027523n;treatment;3
2010-BATI;bn:00029241n;tariff;1
2010-BATI;bn:00029295n;dynamic system;1
2010-BATI;bn:00029876n;effectiveness;5
2010-BATI;bn:00030609n;empirical study;1
2010-BATI;bn:00030721n;goal;37
2010-BATI;bn:00031027n;entities;2
2010-BATI;bn:00031060n;information number;2
2010-BATI;bn:00031888n;euro;1
2010-BATI;bn:00031973n;evaluation;4
2010-BATI;bn:00032060n;evolution;3
2010-BATI;bn:00032100n;example;4
2010-BATI;bn:00032306n;experience;3
2010-BATI;bn:00032309n;experiment;1
2010-BATI;bn:00032892n;household;1
2010-BATI;bn:00033729n;way;10
2010-BATI;bn:00034369n;fig;3
2010-BATI;bn:00034426n;filer;1
2010-BATI;bn:00034898n;fitness;6
2010-BATI;bn:00035650n;food;17
2010-BATI;bn:00036202n;france;1
2010-BATI;bn:00036845n;interaction;1
2010-BATI;bn:00037671n;generalization;1
2010-BATI;bn:00042970n;severity;2
2010-BATI;bn:00045632n;theory;12
2010-BATI;bn:00046143n;importance;1
2010-BATI;bn:00046516n;individuals;2
2010-BATI;bn:00046702n;background;1
2010-BATI;bn:00046705n;information;31
2010-BATI;bn:00047021n;reason;5
2010-BATI;bn:00047088n;user interface;2
2010-BATI;bn:00047130n;internal audit;1
2010-BATI;bn:00047181n;interoperability;1
2010-BATI;bn:00047238n;interview;3
2010-BATI;bn:00047307n;intuition;1
2010-BATI;bn:00048242n;problem;10
2010-BATI;bn:00048655n;laws;4
2010-BATI;bn:00049573n;project;17
2010-BATI;bn:00051538n;literature;4
2010-BATI;bn:00053116n;management;6
2010-BATI;bn:00053279n;manuals;1
2010-BATI;bn:00053458n;market;1
2010-BATI;bn:00053480n;marketing department;2
2010-BATI;bn:00053662n;mass;1
2010-BATI;bn:00053934n;maximum;1
2010-BATI;bn:00054019n;measurement;69
2010-BATI;bn:00054409n;outlets;5
2010-BATI;bn:00054657n;metric;1
2010-BATI;bn:00056162n;proposer;1
2010-BATI;bn:00056443n;interpretation;2
2010-BATI;bn:00057001n;survival;2
2010-BATI;bn:00057017n;environment;1
2010-BATI;bn:00057551n;article;1
2010-BATI;bn:00058285n;number;17
2010-BATI;bn:00058448n;object system;3
2010-BATI;bn:00058495n;observation;2
2010-BATI;bn:00059136n;operationalization;1
2010-BATI;bn:00059480n;organizations;23
2010-BATI;bn:00061500n;perception;4
2010-BATI;bn:00061898n;phase;1
2010-BATI;bn:00061931n;phenomenon;2
2010-BATI;bn:00062349n;sub;3
2010-BATI;bn:00062766n;sheet;3
2010-BATI;bn:00062965n;heart;1
2010-BATI;bn:00063237n;standpoint;2
2010-BATI;bn:00063994n;practitioners;19
2010-BATI;bn:00064728n;validation;10
2010-BATI;bn:00064912n;providers;1
2010-BATI;bn:00065553n;quantity;1
2010-BATI;bn:00065677n;questionnaire;1
2010-BATI;bn:00066247n;ratio;4
2010-BATI;bn:00067030n;relevance;1
2010-BATI;bn:00067280n;research;24
2010-BATI;bn:00067417n;retail business;4
2010-BATI;bn:00068051n;team;1
2010-BATI;bn:00068248n;solution;1
2010-BATI;bn:00069579n;strategy;8
2010-BATI;bn:00070206n;sector;1
2010-BATI;bn:00070697n;set;8
2010-BATI;bn:00070999n;shelf;1
2010-BATI;bn:00073206n;specialists;1
2010-BATI;bn:00073217n;specification;4
2010-BATI;bn:00075277n;supermarket;9
2010-BATI;bn:00075765n;system administrator;1
2010-BATI;bn:00077270n;time;19
2010-BATI;bn:00077860n;trade;5
2010-BATI;bn:00078196n;triplet;1
2010-BATI;bn:00078813n;typer;1
2010-BATI;bn:00079372n;usefulness;4
2010-BATI;bn:00082215v;adapted;1
2010-BATI;bn:00082225v;fulfilled;1
2010-BATI;bn:00082226v;achieve;4
2010-BATI;bn:00082227v;according;1
2010-BATI;bn:00082233v;describe;2
2010-BATI;bn:00082357v;correct;1
2010-BATI;bn:00082379v;adopted;1
2010-BATI;bn:00082412v;mentioned;1
2010-BATI;bn:00082477v;corresponding;1
2010-BATI;bn:00082486v;proposed;1
2010-BATI;bn:00082554v;vary;1
2010-BATI;bn:00082573v;improve;3
2010-BATI;bn:00082596v;analyze;1
2010-BATI;bn:00082720v;assess;1
2010-BATI;bn:00082727v;apprehend;2
2010-BATI;bn:00082768v;elicited;1
2010-BATI;bn:00082822v;involved;6
2010-BATI;bn:00083141v;based;9
2010-BATI;bn:00083240v;related;2
2010-BATI;bn:00083487v;billing;1
2010-BATI;bn:00084065v;brings;1
2010-BATI;bn:00084374v;forecasting;1
2010-BATI;bn:00084527v;handling;1
2010-BATI;bn:00084593v;conducted;3
2010-BATI;bn:00084726v;focus;2
2010-BATI;bn:00084801v;characterized;1
2010-BATI;bn:00084931v;selected;1
2010-BATI;bn:00085337v;occur;1
2010-BATI;bn:00085491v;composed;1
2010-BATI;bn:00085746v;verified;1
2010-BATI;bn:00085851v;cost;1
2010-BATI;bn:00086370v;decide;3
2010-BATI;bn:00086681v;specifies;1
2010-BATI;bn:00086708v;detected;8
2010-BATI;bn:00086769v;diagrams;1
2010-BATI;bn:00086800v;distinguish;1
2010-BATI;bn:00086927v;discounting;1
2010-BATI;bn:00086942v;discuss;3
